"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","first_yes_date","yeartype","dop","year","ind_phen_year","series_yrs"
8496,46.328629,-96.061256,396,"Danaus","plexippus","monarch","Animalia",25783,327,"Adults",2012,5,7,128,2456055,2,"25783_Adults","Adults observed","MN",2012-05-07,"calendar",128,2012,"25783_Adults_2012",11
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,312,"Flower visitation",2012,6,14,166,2456093,1,"28350_Flower visitation","Feeding","MN",2012-06-14,"calendar",166,2012,"28350_Flower visitation_2012",9
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,327,"Adults",2012,6,14,166,2456093,1,"28350_Adults","Adults observed","MN",2012-06-14,"calendar",166,2012,"28350_Adults_2012",9
8736,44.903229,-93.217445,391,"Pieris","rapae","cabbage white","Animalia",28351,327,"Adults",2012,6,1,153,2456080,5,"28351_Adults","Adults observed","MN",2012-06-01,"calendar",153,2012,"28351_Adults_2012",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,312,"Flower visitation",2012,7,5,187,2456114,1,"28352_Flower visitation","Feeding","MN",2012-07-05,"calendar",187,2012,"28352_Flower visitation_2012",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,327,"Adults",2012,7,5,187,2456114,1,"28352_Adults","Adults observed","MN",2012-07-05,"calendar",187,2012,"28352_Adults_2012",10
8736,44.903229,-93.217445,393,"Vanessa","atalanta","red admiral","Animalia",28355,327,"Adults",2012,6,9,161,2456088,2,"28355_Adults","Adults observed","MN",2012-06-09,"calendar",161,2012,"28355_Adults_2012",9
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,312,"Flower visitation",2012,8,25,238,2456165,4,"30797_Flower visitation","Feeding","TX",2012-08-25,"calendar",238,2012,"30797_Flower visitation_2012",11
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,327,"Adults",2012,8,25,238,2456165,4,"30797_Adults","Adults observed","TX",2012-08-25,"calendar",238,2012,"30797_Adults_2012",11
1419,42.011166,-88.503304,288,"Bombus","spp.","bumblebee","Animalia",10284,312,"Flower visitation",2013,5,18,138,2456431,6,"10284_Flower visitation","Feeding","IL",2013-05-18,"calendar",138,2013,"10284_Flower visitation_2013",11
1419,42.011166,-88.503304,288,"Bombus","spp.","bumblebee","Animalia",10284,327,"Adults",2013,5,18,138,2456431,6,"10284_Adults","Adults observed","IL",2013-05-18,"calendar",138,2013,"10284_Adults_2013",11
5674,44.910587,-70.266861,396,"Danaus","plexippus","monarch","Animalia",12711,312,"Flower visitation",2013,6,2,153,2456446,7,"12711_Flower visitation","Feeding","ME",2013-06-02,"calendar",153,2013,"12711_Flower visitation_2013",10
5674,44.910587,-70.266861,396,"Danaus","plexippus","monarch","Animalia",12711,327,"Adults",2013,6,2,153,2456446,7,"12711_Adults","Adults observed","ME",2013-06-02,"calendar",153,2013,"12711_Adults_2013",10
2803,39.971001,-105.397003,288,"Bombus","spp.","bumblebee","Animalia",16049,312,"Flower visitation",2013,6,9,160,2456453,3,"16049_Flower visitation","Feeding","CO",2013-06-09,"calendar",160,2013,"16049_Flower visitation_2013",15
2803,39.971001,-105.397003,288,"Bombus","spp.","bumblebee","Animalia",16049,327,"Adults",2013,5,12,132,2456425,3,"16049_Adults","Adults observed","CO",2013-05-12,"calendar",132,2013,"16049_Adults_2013",14
8496,46.328629,-96.061256,396,"Danaus","plexippus","monarch","Animalia",25783,312,"Flower visitation",2013,8,30,242,2456535,5,"25783_Flower visitation","Feeding","MN",2013-08-30,"calendar",242,2013,"25783_Flower visitation_2013",10
8496,46.328629,-96.061256,396,"Danaus","plexippus","monarch","Animalia",25783,327,"Adults",2013,6,7,158,2456451,3,"25783_Adults","Adults observed","MN",2013-06-07,"calendar",158,2013,"25783_Adults_2013",11
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,312,"Flower visitation",2013,7,1,182,2456475,2,"28350_Flower visitation","Feeding","MN",2013-07-01,"calendar",182,2013,"28350_Flower visitation_2013",9
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,327,"Adults",2013,6,29,180,2456473,2,"28350_Adults","Adults observed","MN",2013-06-29,"calendar",180,2013,"28350_Adults_2013",9
8736,44.903229,-93.217445,391,"Pieris","rapae","cabbage white","Animalia",28351,327,"Adults",2013,8,16,228,2456521,4,"28351_Adults","Adults observed","MN",2013-08-16,"calendar",228,2013,"28351_Adults_2013",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,312,"Flower visitation",2013,8,19,231,2456524,3,"28352_Flower visitation","Feeding","MN",2013-08-19,"calendar",231,2013,"28352_Flower visitation_2013",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,327,"Adults",2013,8,19,231,2456524,3,"28352_Adults","Adults observed","MN",2013-08-19,"calendar",231,2013,"28352_Adults_2013",10
8736,44.903229,-93.217445,393,"Vanessa","atalanta","red admiral","Animalia",28355,327,"Adults",2013,7,10,191,2456484,3,"28355_Adults","Adults observed","MN",2013-07-10,"calendar",191,2013,"28355_Adults_2013",9
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,312,"Flower visitation",2013,3,18,77,2456370,5,"30797_Flower visitation","Feeding","TX",2013-03-18,"calendar",77,2013,"30797_Flower visitation_2013",11
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,327,"Adults",2013,3,18,77,2456370,5,"30797_Adults","Adults observed","TX",2013-03-18,"calendar",77,2013,"30797_Adults_2013",11
10145,42.602543,-83.250992,288,"Bombus","spp.","bumblebee","Animalia",38858,327,"Adults",2013,6,16,167,2456460,1,"38858_Adults","Adults observed","MI",2013-06-16,"calendar",167,2013,"38858_Adults_2013",13
10145,42.602543,-83.250992,391,"Pieris","rapae","cabbage white","Animalia",38859,327,"Adults",2013,5,6,126,2456419,1,"38859_Adults","Adults observed","MI",2013-05-06,"calendar",126,2013,"38859_Adults_2013",13
10145,42.602543,-83.250992,272,"Anax","junius","common green darner","Animalia",38869,327,"Adults",2013,8,20,232,2456525,1,"38869_Adults","Adults observed","MI",2013-08-20,"calendar",232,2013,"38869_Adults_2013",13
10145,42.602543,-83.250992,396,"Danaus","plexippus","monarch","Animalia",38919,327,"Adults",2013,8,2,214,2456507,1,"38919_Adults","Adults observed","MI",2013-08-02,"calendar",214,2013,"38919_Adults_2013",13
10145,42.602543,-83.250992,1137,"Nymphalis","antiopa","mourning cloak","Animalia",38921,327,"Adults",2013,10,1,274,2456567,1,"38921_Adults","Adults observed","MI",2013-10-01,"calendar",274,2013,"38921_Adults_2013",11
10145,42.602543,-83.250992,1132,"Colias","eurytheme","orange sulphur","Animalia",38930,327,"Adults",2013,8,22,234,2456527,1,"38930_Adults","Adults observed","MI",2013-08-22,"calendar",234,2013,"38930_Adults_2013",13
1419,42.011166,-88.503304,288,"Bombus","spp.","bumblebee","Animalia",10284,312,"Flower visitation",2014,8,23,235,2456893,4,"10284_Flower visitation","Feeding","IL",2014-08-23,"calendar",235,2014,"10284_Flower visitation_2014",11
1419,42.011166,-88.503304,288,"Bombus","spp.","bumblebee","Animalia",10284,327,"Adults",2014,5,6,126,2456784,2,"10284_Adults","Adults observed","IL",2014-05-06,"calendar",126,2014,"10284_Adults_2014",11
5674,44.910587,-70.266861,396,"Danaus","plexippus","monarch","Animalia",12711,312,"Flower visitation",2014,6,8,159,2456817,7,"12711_Flower visitation","Feeding","ME",2014-06-08,"calendar",159,2014,"12711_Flower visitation_2014",10
5674,44.910587,-70.266861,396,"Danaus","plexippus","monarch","Animalia",12711,327,"Adults",2014,6,8,159,2456817,7,"12711_Adults","Adults observed","ME",2014-06-08,"calendar",159,2014,"12711_Adults_2014",10
2803,39.971001,-105.397003,288,"Bombus","spp.","bumblebee","Animalia",16049,312,"Flower visitation",2014,10,5,278,2456936,2,"16049_Flower visitation","Feeding","CO",2014-10-05,"calendar",278,2014,"16049_Flower visitation_2014",15
2803,39.971001,-105.397003,288,"Bombus","spp.","bumblebee","Animalia",16049,327,"Adults",2014,4,20,110,2456768,2,"16049_Adults","Adults observed","CO",2014-04-20,"calendar",110,2014,"16049_Adults_2014",14
8496,46.328629,-96.061256,396,"Danaus","plexippus","monarch","Animalia",25783,312,"Flower visitation",2014,7,28,209,2456867,4,"25783_Flower visitation","Feeding","MN",2014-07-28,"calendar",209,2014,"25783_Flower visitation_2014",10
8496,46.328629,-96.061256,396,"Danaus","plexippus","monarch","Animalia",25783,327,"Adults",2014,6,8,159,2456817,2,"25783_Adults","Adults observed","MN",2014-06-08,"calendar",159,2014,"25783_Adults_2014",11
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,312,"Flower visitation",2014,5,23,143,2456801,3,"28350_Flower visitation","Feeding","MN",2014-05-23,"calendar",143,2014,"28350_Flower visitation_2014",9
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,327,"Adults",2014,5,20,140,2456798,2,"28350_Adults","Adults observed","MN",2014-05-20,"calendar",140,2014,"28350_Adults_2014",9
8736,44.903229,-93.217445,391,"Pieris","rapae","cabbage white","Animalia",28351,327,"Adults",2014,6,26,177,2456835,3,"28351_Adults","Adults observed","MN",2014-06-26,"calendar",177,2014,"28351_Adults_2014",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,312,"Flower visitation",2014,8,1,213,2456871,3,"28352_Flower visitation","Feeding","MN",2014-08-01,"calendar",213,2014,"28352_Flower visitation_2014",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,327,"Adults",2014,7,5,186,2456844,2,"28352_Adults","Adults observed","MN",2014-07-05,"calendar",186,2014,"28352_Adults_2014",10
8736,44.903229,-93.217445,393,"Vanessa","atalanta","red admiral","Animalia",28355,327,"Adults",2014,6,16,167,2456825,6,"28355_Adults","Adults observed","MN",2014-06-16,"calendar",167,2014,"28355_Adults_2014",9
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,312,"Flower visitation",2014,4,2,92,2456750,3,"30797_Flower visitation","Feeding","TX",2014-04-02,"calendar",92,2014,"30797_Flower visitation_2014",11
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,327,"Adults",2014,4,2,92,2456750,3,"30797_Adults","Adults observed","TX",2014-04-02,"calendar",92,2014,"30797_Adults_2014",11
10145,42.602543,-83.250992,288,"Bombus","spp.","bumblebee","Animalia",38858,327,"Adults",2014,5,6,126,2456784,1,"38858_Adults","Adults observed","MI",2014-05-06,"calendar",126,2014,"38858_Adults_2014",13
10145,42.602543,-83.250992,391,"Pieris","rapae","cabbage white","Animalia",38859,327,"Adults",2014,5,6,126,2456784,1,"38859_Adults","Adults observed","MI",2014-05-06,"calendar",126,2014,"38859_Adults_2014",13
10145,42.602543,-83.250992,272,"Anax","junius","common green darner","Animalia",38869,327,"Adults",2014,7,25,206,2456864,1,"38869_Adults","Adults observed","MI",2014-07-25,"calendar",206,2014,"38869_Adults_2014",13
10145,42.602543,-83.250992,396,"Danaus","plexippus","monarch","Animalia",38919,327,"Adults",2014,7,1,182,2456840,1,"38919_Adults","Adults observed","MI",2014-07-01,"calendar",182,2014,"38919_Adults_2014",13
10145,42.602543,-83.250992,1132,"Colias","eurytheme","orange sulphur","Animalia",38930,327,"Adults",2014,5,29,149,2456807,2,"38930_Adults","Adults observed","MI",2014-05-29,"calendar",149,2014,"38930_Adults_2014",13
10145,42.602543,-83.250992,393,"Vanessa","atalanta","red admiral","Animalia",38941,327,"Adults",2014,5,11,131,2456789,1,"38941_Adults","Adults observed","MI",2014-05-11,"calendar",131,2014,"38941_Adults_2014",11
10145,42.602543,-83.250992,1238,"Apis","mellifera","honeybee","Animalia",69919,327,"Adults",2014,5,24,144,2456802,1,"69919_Adults","Adults observed","MI",2014-05-24,"calendar",144,2014,"69919_Adults_2014",11
16876,41.745537,-74.119392,396,"Danaus","plexippus","monarch","Animalia",72969,312,"Flower visitation",2014,8,29,241,2456899,3,"72969_Flower visitation","Feeding","NY",2014-08-29,"calendar",241,2014,"72969_Flower visitation_2014",10
16876,41.745537,-74.119392,396,"Danaus","plexippus","monarch","Animalia",72969,327,"Adults",2014,8,29,241,2456899,3,"72969_Adults","Adults observed","NY",2014-08-29,"calendar",241,2014,"72969_Adults_2014",11
20969,33.632149,-117.55545,1383,"Adelpha","californica","California sister","Animalia",90203,327,"Adults",2014,3,16,75,2456733,1,"90203_Adults","Adults observed","CA",2014-03-16,"calendar",75,2014,"90203_Adults_2014",10
20969,33.632149,-117.55545,1135,"Junonia","coenia","common buckeye","Animalia",90204,327,"Adults",2014,4,5,95,2456753,2,"90204_Adults","Adults observed","CA",2014-04-05,"calendar",95,2014,"90204_Adults_2014",10
20969,33.632149,-117.55545,1388,"Coenonympha","tullia","common ringlet","Animalia",90205,327,"Adults",2014,3,16,75,2456733,1,"90205_Adults","Adults observed","CA",2014-03-16,"calendar",75,2014,"90205_Adults_2014",10
1419,42.011166,-88.503304,288,"Bombus","spp.","bumblebee","Animalia",10284,312,"Flower visitation",2015,4,17,107,2457130,6,"10284_Flower visitation","Feeding","IL",2015-04-17,"calendar",107,2015,"10284_Flower visitation_2015",11
1419,42.011166,-88.503304,288,"Bombus","spp.","bumblebee","Animalia",10284,327,"Adults",2015,4,17,107,2457130,6,"10284_Adults","Adults observed","IL",2015-04-17,"calendar",107,2015,"10284_Adults_2015",11
2803,39.971001,-105.397003,288,"Bombus","spp.","bumblebee","Animalia",16049,312,"Flower visitation",2015,5,31,151,2457174,6,"16049_Flower visitation","Feeding","CO",2015-05-31,"calendar",151,2015,"16049_Flower visitation_2015",15
2803,39.971001,-105.397003,288,"Bombus","spp.","bumblebee","Animalia",16049,327,"Adults",2015,4,5,95,2457118,3,"16049_Adults","Adults observed","CO",2015-04-05,"calendar",95,2015,"16049_Adults_2015",14
8496,46.328629,-96.061256,396,"Danaus","plexippus","monarch","Animalia",25783,312,"Flower visitation",2015,10,1,274,2457297,7,"25783_Flower visitation","Feeding","MN",2015-10-01,"calendar",274,2015,"25783_Flower visitation_2015",10
8496,46.328629,-96.061256,396,"Danaus","plexippus","monarch","Animalia",25783,327,"Adults",2015,6,11,162,2457185,2,"25783_Adults","Adults observed","MN",2015-06-11,"calendar",162,2015,"25783_Adults_2015",11
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,312,"Flower visitation",2015,5,4,124,2457147,7,"28350_Flower visitation","Feeding","MN",2015-05-04,"calendar",124,2015,"28350_Flower visitation_2015",9
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,327,"Adults",2015,6,4,155,2457178,3,"28350_Adults","Adults observed","MN",2015-06-04,"calendar",155,2015,"28350_Adults_2015",9
8736,44.903229,-93.217445,391,"Pieris","rapae","cabbage white","Animalia",28351,327,"Adults",2015,4,30,120,2457143,3,"28351_Adults","Adults observed","MN",2015-04-30,"calendar",120,2015,"28351_Adults_2015",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,312,"Flower visitation",2015,7,9,190,2457213,1,"28352_Flower visitation","Feeding","MN",2015-07-09,"calendar",190,2015,"28352_Flower visitation_2015",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,327,"Adults",2015,7,9,190,2457213,1,"28352_Adults","Adults observed","MN",2015-07-09,"calendar",190,2015,"28352_Adults_2015",10
8736,44.903229,-93.217445,393,"Vanessa","atalanta","red admiral","Animalia",28355,327,"Adults",2015,5,22,142,2457165,5,"28355_Adults","Adults observed","MN",2015-05-22,"calendar",142,2015,"28355_Adults_2015",9
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,312,"Flower visitation",2015,3,25,84,2457107,3,"30797_Flower visitation","Feeding","TX",2015-03-25,"calendar",84,2015,"30797_Flower visitation_2015",11
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,327,"Adults",2015,3,25,84,2457107,3,"30797_Adults","Adults observed","TX",2015-03-25,"calendar",84,2015,"30797_Adults_2015",11
10145,42.602543,-83.250992,288,"Bombus","spp.","bumblebee","Animalia",38858,327,"Adults",2015,5,1,121,2457144,1,"38858_Adults","Adults observed","MI",2015-05-01,"calendar",121,2015,"38858_Adults_2015",13
10145,42.602543,-83.250992,391,"Pieris","rapae","cabbage white","Animalia",38859,327,"Adults",2015,5,1,121,2457144,1,"38859_Adults","Adults observed","MI",2015-05-01,"calendar",121,2015,"38859_Adults_2015",13
10145,42.602543,-83.250992,272,"Anax","junius","common green darner","Animalia",38869,327,"Adults",2015,5,18,138,2457161,1,"38869_Adults","Adults observed","MI",2015-05-18,"calendar",138,2015,"38869_Adults_2015",13
10145,42.602543,-83.250992,396,"Danaus","plexippus","monarch","Animalia",38919,327,"Adults",2015,6,22,173,2457196,1,"38919_Adults","Adults observed","MI",2015-06-22,"calendar",173,2015,"38919_Adults_2015",13
10145,42.602543,-83.250992,1137,"Nymphalis","antiopa","mourning cloak","Animalia",38921,327,"Adults",2015,5,3,123,2457146,1,"38921_Adults","Adults observed","MI",2015-05-03,"calendar",123,2015,"38921_Adults_2015",11
10145,42.602543,-83.250992,1132,"Colias","eurytheme","orange sulphur","Animalia",38930,327,"Adults",2015,7,15,196,2457219,1,"38930_Adults","Adults observed","MI",2015-07-15,"calendar",196,2015,"38930_Adults_2015",13
10145,42.602543,-83.250992,393,"Vanessa","atalanta","red admiral","Animalia",38941,327,"Adults",2015,5,22,142,2457165,1,"38941_Adults","Adults observed","MI",2015-05-22,"calendar",142,2015,"38941_Adults_2015",11
16876,41.745537,-74.119392,396,"Danaus","plexippus","monarch","Animalia",72969,312,"Flower visitation",2015,8,8,220,2457243,2,"72969_Flower visitation","Feeding","NY",2015-08-08,"calendar",220,2015,"72969_Flower visitation_2015",10
16876,41.745537,-74.119392,396,"Danaus","plexippus","monarch","Animalia",72969,327,"Adults",2015,5,27,147,2457170,1,"72969_Adults","Adults observed","NY",2015-05-27,"calendar",147,2015,"72969_Adults_2015",11
17414,42.936153,-73.433449,396,"Danaus","plexippus","monarch","Animalia",86971,312,"Flower visitation",2015,8,16,228,2457251,7,"86971_Flower visitation","Feeding","NY",2015-08-16,"calendar",228,2015,"86971_Flower visitation_2015",10
17414,42.936153,-73.433449,396,"Danaus","plexippus","monarch","Animalia",86971,327,"Adults",2015,5,30,150,2457173,6,"86971_Adults","Adults observed","NY",2015-05-30,"calendar",150,2015,"86971_Adults_2015",11
20969,33.632149,-117.55545,1383,"Adelpha","californica","California sister","Animalia",90203,327,"Adults",2015,2,5,36,2457059,5,"90203_Adults","Adults observed","CA",2015-02-05,"calendar",36,2015,"90203_Adults_2015",10
20969,33.632149,-117.55545,1135,"Junonia","coenia","common buckeye","Animalia",90204,327,"Adults",2015,4,3,93,2457116,6,"90204_Adults","Adults observed","CA",2015-04-03,"calendar",93,2015,"90204_Adults_2015",10
20969,33.632149,-117.55545,1388,"Coenonympha","tullia","common ringlet","Animalia",90205,327,"Adults",2015,4,19,109,2457132,6,"90205_Adults","Adults observed","CA",2015-04-19,"calendar",109,2015,"90205_Adults_2015",10
20969,33.632149,-117.55545,1384,"Anthocharis","sara","Pacific orangetip","Animalia",90206,327,"Adults",2015,1,18,18,2457041,3,"90206_Adults","Adults observed","CA",2015-01-18,"calendar",18,2015,"90206_Adults_2015",10
1419,42.011166,-88.503304,288,"Bombus","spp.","bumblebee","Animalia",10284,312,"Flower visitation",2016,8,17,230,2457618,3,"10284_Flower visitation","Feeding","IL",2016-08-17,"calendar",230,2016,"10284_Flower visitation_2016",11
1419,42.011166,-88.503304,288,"Bombus","spp.","bumblebee","Animalia",10284,327,"Adults",2016,4,16,107,2457495,1,"10284_Adults","Adults observed","IL",2016-04-16,"calendar",107,2016,"10284_Adults_2016",11
2803,39.971001,-105.397003,288,"Bombus","spp.","bumblebee","Animalia",16049,312,"Flower visitation",2016,5,29,150,2457538,2,"16049_Flower visitation","Feeding","CO",2016-05-29,"calendar",150,2016,"16049_Flower visitation_2016",15
2803,39.971001,-105.397003,288,"Bombus","spp.","bumblebee","Animalia",16049,327,"Adults",2016,5,6,127,2457515,5,"16049_Adults","Adults observed","CO",2016-05-06,"calendar",127,2016,"16049_Adults_2016",14
8496,46.328629,-96.061256,396,"Danaus","plexippus","monarch","Animalia",25783,312,"Flower visitation",2016,8,4,217,2457605,7,"25783_Flower visitation","Feeding","MN",2016-08-04,"calendar",217,2016,"25783_Flower visitation_2016",10
8496,46.328629,-96.061256,396,"Danaus","plexippus","monarch","Animalia",25783,327,"Adults",2016,7,15,197,2457585,5,"25783_Adults","Adults observed","MN",2016-07-15,"calendar",197,2016,"25783_Adults_2016",11
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,312,"Flower visitation",2016,5,5,126,2457514,2,"28350_Flower visitation","Feeding","MN",2016-05-05,"calendar",126,2016,"28350_Flower visitation_2016",9
8736,44.903229,-93.217445,288,"Bombus","spp.","bumblebee","Animalia",28350,327,"Adults",2016,4,16,107,2457495,1,"28350_Adults","Adults observed","MN",2016-04-16,"calendar",107,2016,"28350_Adults_2016",9
8736,44.903229,-93.217445,391,"Pieris","rapae","cabbage white","Animalia",28351,327,"Adults",2016,5,6,127,2457515,3,"28351_Adults","Adults observed","MN",2016-05-06,"calendar",127,2016,"28351_Adults_2016",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,312,"Flower visitation",2016,7,3,185,2457573,4,"28352_Flower visitation","Feeding","MN",2016-07-03,"calendar",185,2016,"28352_Flower visitation_2016",10
8736,44.903229,-93.217445,396,"Danaus","plexippus","monarch","Animalia",28352,327,"Adults",2016,7,3,185,2457573,4,"28352_Adults","Adults observed","MN",2016-07-03,"calendar",185,2016,"28352_Adults_2016",10
8736,44.903229,-93.217445,393,"Vanessa","atalanta","red admiral","Animalia",28355,327,"Adults",2016,5,6,127,2457515,1,"28355_Adults","Adults observed","MN",2016-05-06,"calendar",127,2016,"28355_Adults_2016",9
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,312,"Flower visitation",2016,3,23,83,2457471,3,"30797_Flower visitation","Feeding","TX",2016-03-23,"calendar",83,2016,"30797_Flower visitation_2016",11
8418,32.363758,-94.873947,288,"Bombus","spp.","bumblebee","Animalia",30797,327,"Adults",2016,3,23,83,2457471,3,"30797_Adults","Adults observed","TX",2016-03-23,"calendar",83,2016,"30797_Adults_2016",11
10145,42.602543,-83.250992,288,"Bombus","spp.","bumblebee","Animalia",38858,327,"Adults",2016,5,5,126,2457514,1,"38858_Adults","Adults observed","MI",2016-05-05,"calendar",126,2016,"38858_Adults_2016",13
10145,42.602543,-83.250992,391,"Pieris","rapae","cabbage white","Animalia",38859,327,"Adults",2016,4,21,112,2457500,2,"38859_Adults","Adults observed","MI",2016-04-21,"calendar",112,2016,"38859_Adults_2016",13
10145,42.602543,-83.250992,272,"Anax","junius","common green darner","Animalia",38869,327,"Adults",2016,6,29,181,2457569,1,"38869_Adults","Adults observed","MI",2016-06-29,"calendar",181,2016,"38869_Adults_2016",13
10145,42.602543,-83.250992,396,"Danaus","plexippus","monarch","Animalia",38919,327,"Adults",2016,7,30,212,2457600,1,"38919_Adults","Adults observed","MI",2016-07-30,"calendar",212,2016,"38919_Adults_2016",13
10145,42.602543,-83.250992,1137,"Nymphalis","antiopa","mourning cloak","Animalia",38921,327,"Adults",2016,6,26,178,2457566,1,"38921_Adults","Adults observed","MI",2016-06-26,"calendar",178,2016,"38921_Adults_2016",11
10145,42.602543,-83.250992,1132,"Colias","eurytheme","orange sulphur","Animalia",38930,327,"Adults",2016,6,4,156,2457544,1,"38930_Adults","Adults observed","MI",2016-06-04,"calendar",156,2016,"38930_Adults_2016",13
10145,42.602543,-83.250992,393,"Vanessa","atalanta","red admiral","Animalia",38941,327,"Adults",2016,5,20,141,2457529,1,"38941_Adults","Adults observed","MI",2016-05-20,"calendar",141,2016,"38941_Adults_2016",11
10145,42.602543,-83.250992,1238,"Apis","mellifera","honeybee","Animalia",69919,327,"Adults",2016,5,22,143,2457531,1,"69919_Adults","Adults observed","MI",2016-05-22,"calendar",143,2016,"69919_Adults_2016",11
16876,41.745537,-74.119392,396,"Danaus","plexippus","monarch","Animalia",72969,312,"Flower visitation",2016,8,17,230,2457618,3,"72969_Flower visitation","Feeding","NY",2016-08-17,"calendar",230,2016,"72969_Flower visitation_2016",10
